segment,lon,lat,depth,slip,strike,dip,rake,rupturetime,length,width
1,174.2335,-41.6963,0.0,0.27396,234.0,74.9,141.01, ,1000.0,1035.762
1,174.2317,-41.6943,1000000.0,0.51613,234.0,74.9,151.08, ,1000.0,1035.762
1,174.2299,-41.6922,2000000.0,0.75344,234.0,74.9,154.62, ,1000.0,1035.762
1,174.2281,-41.6902,3000000.0,0.97276,234.0,74.9,156.31, ,1000.0,1035.762
1,174.2263,-41.6882,4000000.0,1.16167,234.0,74.9,157.43, ,1000.0,1035.762
1,174.2245,-41.6862,5000000.0,1.31007,234.0,74.9,158.47, ,1000.0,1035.762
1,174.2226,-41.6842,6000000.0,1.41182,234.0,74.9,159.58, ,1000.0,1035.762
1,174.2208,-41.6822,7000000.0,1.46513,234.0,74.9,160.82, ,1000.0,1035.762
1,174.219,-41.6802,8000000.0,1.47198,234.0,74.9,162.17, ,1000.0,1035.762
1,174.2172,-41.6782,9000000.0,1.43715,234.0,74.9,163.62, ,1000.0,1035.762
1,174.2154,-41.6761,10000000.0,1.36715,234.0,74.9,165.12, ,1000.0,1035.762
1,174.2136,-41.6741,11000000.0,1.26937,234.0,74.9,166.65, ,1000.0,1035.762
1,174.2118,-41.6721,12000000.0,1.15141,234.0,74.9,168.19, ,1000.0,1035.762
1,174.2099,-41.6701,13000000.0,1.02058,234.0,74.9,169.72, ,1000.0,1035.762
1,174.2081,-41.6681,14000000.0,0.88364,234.0,74.9,171.21, ,1000.0,1035.762
1,174.2063,-41.6661,15000000.0,0.74655,234.0,74.9,172.65, ,1000.0,1035.762
1,174.2045,-41.6641,16000000.0,0.61439,234.0,74.9,174.04, ,1000.0,1035.762
1,174.2027,-41.6621,17000000.0,0.49132,234.0,74.9,175.35, ,1000.0,1035.762
1,174.2009,-41.66,18000000.0,0.38049,234.0,74.9,176.57, ,1000.0,1035.762
1,174.1991,-41.658,19000000.0,0.28407,234.0,74.9,177.68, ,1000.0,1035.762
1,174.1973,-41.656,20000000.0,0.20321,234.0,74.9,178.63, ,1000.0,1035.762
